"id","trade_px","trade_volume","b1","b2","b3","b4","b5","a1","a2","a3","a4","a5","bq1","bq2","bq3","bq4","bq5","aq1","aq2","aq3","aq4","aq5","order_date_time","trades_date_time","update_type"
5,0.0,0.0,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.3,8900.5,3.03829894,0.01061948,0.45103093,0.03539707,0.59278351,13.58171001,2.5,145.6355621,0.4,6,20180423 14:15:37.165344,20000101 00:00:00.000000,1
17,0.0,0.0,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.3,8900.5,3.10013397,0.01061948,0.45103093,0.03539707,0.59278351,13.58171001,2.5,145.6355621,0.4,6,20180423 14:15:37.628393,20000101 00:00:00.000000,1
18,0.0,0.0,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.3,8900.5,3.10013397,0.01061948,0.45103093,0.03539707,0.59278351,13.58171001,4.5,145.6355621,0.4,6,20180423 14:15:37.634574,20000101 00:00:00.000000,1
35,8899.3,0.1148,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.3,8900.5,3.10013397,0.01061948,0.45103093,0.03539707,0.59278351,13.58171001,4.5,145.6355621,0.4,6,20180423 14:15:37.640777,20180423 14:14:38.000000,2
39,8899.3,0.0352,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.3,8900.5,3.10013397,0.01061948,0.45103093,0.03539707,0.59278351,13.58171001,4.5,145.6355621,0.4,6,20180423 14:15:37.640777,20180423 14:14:38.000000,2
40,8899.3,0.0352,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.3,8900.5,3.51022603,0.01061948,0.45103093,0.03539707,0.59278351,13.58171001,4.5,145.6355621,0.4,6,20180423 14:15:38.083895,20180423 14:14:38.000000,1
41,8899.3,0.0352,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.3,8900.5,3.51022603,0.01061948,0.45103093,0.03539707,0.59278351,15.69389246,4.5,145.6355621,0.4,6,20180423 14:15:38.092010,20180423 14:14:38.000000,1
42,8899.3,0.0352,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.3,8900.5,3.51022603,0.01061948,0.45103093,0.03539707,0.59278351,15.69389246,2.5,145.6355621,0.4,6,20180423 14:15:38.093258,20180423 14:14:38.000000,1
43,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.3,8900.5,3.51022603,0.01061948,0.45103093,0.03539707,0.59278351,15.69389246,2.5,145.6355621,0.4,6,20180423 14:15:38.104617,20180423 14:14:38.000000,2
65,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.5,8902,3.51022603,0.01061948,0.45103093,0.03539707,0.59278351,15.69389246,2.5,145.6355621,6,0.3692,20180423 14:15:38.320117,20180423 14:14:38.000000,1
66,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.5,8902,2.45747907,0.01061948,0.45103093,0.03539707,0.59278351,15.69389246,2.5,145.6355621,6,0.3692,20180423 14:15:38.330857,20180423 14:14:38.000000,1
67,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.5,8902,2.45747907,0.01061948,0.45103093,0.03539707,0.59278351,13.69389246,2.5,145.6355621,6,0.3692,20180423 14:15:38.332350,20180423 14:14:38.000000,1
68,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.5,8902,2.45747907,0.01061948,0.45103093,0.03539707,0.59278351,13.69389246,2.5160897,145.6355621,6,0.3692,20180423 14:15:38.336948,20180423 14:14:38.000000,1
69,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8899.7,8900,8900.5,2.45747907,0.01061948,0.45103093,0.03539707,0.59278351,13.69389246,2.5160897,1,145.6355621,6,20180423 14:15:38.338213,20180423 14:14:38.000000,1
70,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8899.7,8899.8,8900,2.45747907,0.01061948,0.45103093,0.03539707,0.59278351,13.69389246,2.5160897,1,1,145.6355621,20180423 14:15:38.339704,20180423 14:14:38.000000,1
95,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8899.8,8900,8900.2,2.45747907,0.01061948,0.45103093,0.03539707,0.59278351,13.69389246,2.5160897,1,145.6355621,0.11202703,20180423 14:15:38.747906,20180423 14:14:38.000000,1
96,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8899.8,8900,8900.2,2.45747907,0.01061948,0.45103093,0.03539707,0.59278351,13.29389246,2.5160897,1,145.6355621,0.11202703,20180423 14:15:38.752453,20180423 14:14:38.000000,1
97,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8899.8,8900,8900.2,2.45747907,0.01061948,0.45103093,0.03539707,0.59278351,13.29389246,2.5160897,2,145.6355621,0.11202703,20180423 14:15:38.753742,20180423 14:14:38.000000,1
114,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8899.8,8900,8900.2,2.92955198,0.01061948,0.45103093,0.03539707,0.59278351,13.29389246,2.5160897,2,145.6355621,0.11202703,20180423 14:15:39.133569,20180423 14:14:38.000000,1
115,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8899.8,8900,8900.2,2.92955198,0.01061948,0.45103093,0.03539707,0.59278351,13.79389246,2.5160897,2,145.6355621,0.11202703,20180423 14:15:39.134889,20180423 14:14:38.000000,1
127,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.2,8900.5,2.92955198,0.01061948,0.45103093,0.03539707,0.59278351,13.79389246,2.5160897,145.6355621,0.11202703,6,20180423 14:15:39.516789,20180423 14:14:38.000000,1
128,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.2,8900.5,2.92955198,0.01061948,0.45103093,0.03539707,0.59278351,14.19389246,2.5160897,145.6355621,0.11202703,6,20180423 14:15:39.522217,20180423 14:14:38.000000,1
148,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.2,8900.5,2.92955198,0.01061948,0.45103093,0.03539707,0.59278351,13.19389246,2.5160897,145.6355621,0.11202703,6,20180423 14:15:39.952477,20180423 14:14:38.000000,1
149,8899.3,0.50874696,8899.3,8897.6,8897,8896.6,8896.4,8899.4,8899.5,8900,8900.2,8900.3,2.92955198,0.01061948,0.45103093,0.03539707,0.59278351,13.19389246,2.5160897,145.6355621,0.11202703,0.4,20180423 14:15:39.953933,20180423 14:14:38.000000,1
